Id,prediction
3702803,0.99762136
11181765,0.8325913
11181767,0.9488887
12838194,0.9673834
13345341,0.8339278
26332695,0.97619504
26339980,0.9983778
26348120,0.98772544
30138722,0.9734042
33640869,0.8062583
35356762,0.9946985
38503469,0.22232328
39576100,0.9412382
45357246,0.92652917
45435722,0.9683385
45438617,0.9890238
51095271,0.97440165
57635194,0.86355466
58220717,0.56506795
62127205,0.6178672
76583840,0.9409782
76875408,0.9832187
77390077,0.7464031
77390079,0.95123065
82616363,0.896464
82616703,0.9873224
82616895,0.9910164
108884197,0.032432403
114341455,0.99718446
115367318,0.8206604
116227037,0.8875398
118173533,0.21058796
119377766,0.98862493
119672492,0.97305995
158329021,0.9966397
159163462,0.993302
160369818,0.3290619
160430555,0.93412846
167880585,0.3373154
182636254,0.9869875
220976749,0.96919614
227844233,0.9528528
242276178,0.9887545
247547816,0.95758474
253984525,0.9918085
261281858,0.95727104
268610137,0.98468715
269211798,0.9717899
Q8MIS5,0.19801667
A2TBB3,0.873463
A4GHD1,0.44037378
A7MC71,0.99595296
A7RP19,0.5716595
A7S3Q6,0.31225047
A7SYQ8,0.5908962
A8C7X1,0.5951701
A8CVN6,0.83008397
A8MWX1,0.83733696
Q90WJ8,0.021591019
B0R0P1,0.036649074
B0R0P2,0.22833234
B0ZBM3,0.12020791
B3KV04,0.08221733
B5BUZ2,0.13262735
B5U215,0.11793706
B5U216,0.14599039
B5X9V5,0.022665612
B5XAH4,0.13553043
B6RAZ0,0.38116646
B6RAZ2,0.18118225
B7TXW4,0.8820584
B8A5M2,0.08211362
B9EPI6,0.0787009
Q7LZK5,0.31455582
Q56EB0,0.2614877
P22029,0.2951088
C0HAX0,0.3809474
C1BX78,0.11203882
C1BX79,0.028946117
Q91ZX1,0.038487628
Q91ZW7,0.06331539
C3KHH6,0.7742332
C3UZX9,0.0837807
C3UZY2,0.11773387
C3UZY8,0.026821021
C3UZY9,0.72338814
C3XTW4,0.96416473
C3YLI4,0.29257274
C3YMY1,0.048720375
C3YWI6,0.7556449
C3Z141,0.1206048
C3Z4C7,0.69640315
C3Z9L6,0.110497534
C3ZIG0,0.30981892
C4P240,0.02856382
C8CBM7,0.17409958
C8YLU4,0.5559548
Q8IUN9,0.46786854
Q9D676,0.71885854
Q8C1T8,0.26848364
Q67EQ1,0.10460796
P10716,0.721827
Q9JKF4,0.021504162
A6QP79,0.8805741
D2H0D8,0.95137197
D2HHN2,0.31190264
Q9PSM5,0.3971786
O02581,0.13915658
O02582,0.3143528
O02583,0.31495944
Q28343,0.44969022
Q61282,0.8265178
Q08II9,0.037722517
Q1PSV4,0.47244906
Q20665,0.2319217
Q27340,0.2396476
Q4LE67,0.5866389
Q4S3U4,0.069310464
Q4S6L5,0.65831316
Q4TAZ0,0.26244193
Q589R3,0.49262235
Q5KSX8,0.02678177
Q67DU8,0.03755562
Q6IVD7,0.58096635
Q6IVE2,0.34902188
Q6IVF1,0.8817075
Q75ZI2,0.8248177
Q802S7,0.29832622
Q802S8,0.23854819
Q80UI7,0.47034147
Q8JZN1,0.72837734
Q9IB90,0.17059277
A8P609_BRUMA,0.90778905
B4LKB9_DROVI,0.86124253
B4LKE4_DROVI,0.7750463
B9P8E1_POPTR,0.8350541
Q1NG41_9SPHN,0.9049829
A3WTB9,0.91549593
B0TH07,0.98409176
B5X2G1,0.9877567
B8QP43,0.99385804
A7SGV5_NEMVE,0.97842294
A7SUC9_NEMVE,0.96173406
A7SZ45_NEMVE,0.98324215
78364085,0.99051756
29603819,0.9837382
213874,0.28840685
95929364,0.99131656
122151,0.9863578
A6QP41,0.99570197
112851,0.9869768
A0A1G5,0.9911282
A0AEN7,0.99578387
A0AL47,0.9980096
A0B1W2,0.9923483
A0B548,0.99635625
A0B6Q7,0.989075
A0B8V7,0.99650806
A0BPJ7,0.9982455
A0BSS6,0.99652725
A0C384,0.9988422
A0D485,0.99709165
A0D4Z8,0.9951068
A0DBS3,0.9983303
A0ECA5,0.99880695
A0EYT2,0.9978398
A0EYX7,0.9948677
A0FJB4,0.99242145
A0JM87,0.9980786
A0JNT1,0.99714845
A0KFX1,0.9973678
A0KHQ5,0.9577039
A0KHU7,0.99767774
A0KNI6,0.9881981
A0L7I7,0.9936207
A0LFQ8,0.9981521
A0LHK8,0.9971017
A0LJ19,0.99844766
A0LK78,0.99060565
A0LKY6,0.9962218
A0LLN5,0.99803144
A0LM55,0.99323285
A0LSB1,0.994616
A0M722,0.99090475
A0MBM6,0.98954785
A0MZ58,0.996967
A0NVS7,0.9696352
A0P2I4,0.99481946
A0PB11,0.9977582
A0PXA9,0.9912059
A0PYS0,0.9977889
A0Q8J0,0.9893282
A0QJY2,0.9962681
A0QRN0,0.99332076
A0R7Y2,0.9986449
A0RRK0,0.9739809
A0RYA2,0.997658
A0Y7L2,0.9937093
A0Y9W1,0.9986777
A0YAI8,0.98556834
A0YFU6,0.99329376
A0YIL0,0.9988098
A0YQ31,0.9937071
A0YVL5,0.99273384
A0YYA2,0.9965256
A0Z3N7,0.99725926
A0Z438,0.9929214
A0Z5A7,0.99644864
A0Z5B9,0.9968629
A0ZLK6,0.99421436
A0ZVQ8,0.99664503
A0ZXG5,0.9331777
A1A142,0.998398
A1AAK4,0.9898807
A1ADL5,0.98750544
A1AND6,0.99435353
A1AUM4,0.9938199
A1B586,0.99269366
A1BHM7,0.990637
A1C4N7,0.9862976
A1C4U3,0.9821488
A1CB33,0.9815197
A1CIB7,0.9954888
A1CYI5,0.9879391
A1D1H0,0.9940352
A1DG04,0.9987348
A1ET09,0.9978492
A1HLW6,0.9969663
A1HNA4,0.99269366
A1HPN9,0.9977087
A1HSX0,0.99774617
A1INQ6,0.9975236
A1JSS8,0.9979347
A1K6F5,0.9931155
A1K8Z9,0.9941968
A1KCF4,0.97951084
A1KUW8,0.95604026
A1KWI0,0.98180526
A1L1R9,0.9982337
A1RC01,0.9909033
A1RVQ3,0.9977336
A1RVW2,0.9960622
A1RXM0,0.99835664
A1S3N3,0.99167866
A1S638,0.94480246
A1S8W6,0.99884605
A1SAY3,0.99427986
A1SBG6,0.9893881
A1SCV8,0.98792213
A1T0R7,0.99222773
A1TMM5,0.9854903
A1TXC7,0.9904536
A1TY62,0.98923814
A1TZF7,0.9974597
A1UAM2,0.99729484
A1UPD7,0.7783871
A1UVF3,0.991682
A1V3Q1,0.9885717
A1W5E4,0.9952023
A1W682,0.9979358
A1WDF1,0.9971724
A1WDN7,0.9400649
A1YAQ4,0.99866116
A1YIY5,0.9931243
A1YKY4,0.9875201
A1YMZ5,0.99668497
A1YVD0,0.9894304
A1ZVA0,0.996487
A2A0W5,0.9756309
A2BG70,0.998502
A2BJR7,0.9961119
A2BN54,0.99847764
A2BZE2,0.99380785
A2C293,0.99397874
A2DAA0,0.9879973
A2EPF6,0.9969009
A2FVJ8,0.998216
A2I3U8,0.9899995
A2PEG6,0.9948649
A2Q6E2,0.9885727
A2QDA5,0.9961085
A2QDK2,0.9885882
A2QVS4,0.99756455
A2R2G3,0.9940006
A2R4S9,0.9985788
A2R5N4,0.9880171
A2R5Z9,0.99092835
A2RUZ0,0.99211276
A2SA88,0.9624853
A2SCY9,0.9969297
A2SHM5,0.9842726
A2SQB7,0.9966724
A2SRE1,0.99817145
A2SU95,0.9915583
A2SY41,0.9900407
A2TIV0,0.9987907
A2TKG1,0.9990096
A2TUE4,0.9771452
A2VHU1,0.9605072
A2WAD3,0.9688683
A2WKC8,0.99781334
A2WRN2,0.937613
A2WVP5,0.99325424
A2WVT4,0.99795353
A2WX43,0.997682
A2Y140,0.996637
A2YAN5,0.99321765
A2YKF4,0.98744464
A2YX53,0.9683814
A2Z0V7,0.98349124
A2ZJX7,0.9883894
A3CM51,0.9908084
A3CWF8,0.97195315
A3CWV3,0.9847515
A3D2G0,0.99394566
A3DCN4,0.9859972
A3DCY8,0.9977665
A3DF32,0.9957604
A3DFP5,0.9989685
A3DGQ1,0.9966113
A3DHD3,0.9976119
A3DHU2,0.9959978
A3DIA3,0.9973742
A3DKB7,0.9992729
A3DKT3,0.9985392
A3DMH4,0.9978532
A3DN09,0.9987507
A3F809,0.99336433
A3FEV7,0.99881077
A3GKA9,0.98955184
A3HWW4,0.99903643
A3I3X0,0.9971071
A3I638,0.9735638
A3ICF8,0.9948061
A3IFJ2,0.99759716
A3IG37,0.989207
A3IRG4,0.99197197
A3IVQ0,0.99851805
A3J6R9,0.98444206
A3JCY5,0.99596727
A3JG07,0.99685884
A3JSE2,0.9990559
A3JZT9,0.94066185
A3KG07,0.99494874
A3KIX8,0.9961687
A3KKM6,0.99494827
A3KSR1,0.99559706
A3L5S4,0.93940586
A3LCD8,0.9749766
A3LNV0,0.9976739
A3LQR3,0.9146811
A3LZ98,0.99716526
A3LZC0,0.99727756
A3M3U3,0.9945582
A3NA04,0.99472284
A3NJN5,0.9598091
A3PIT5,0.9939547
A3PSH9,0.99219984
A3QDY3,0.99430096
A3RG92,0.9985991
A3RP71,0.9967535
A3RP76,0.9818678
A3S8R8,0.99291646
A3SLS7,0.99574643
A3TNK6,0.9942707
A3TP72,0.918013
A3TPE6,0.9949085
A3UB73,0.99763465
A3UDD6,0.9678973
A3UIM1,0.99782133
A3UU52,0.993361
A3V083,0.97986513
A3VNT2,0.99698025
A3VPE9,0.9901181
A3VUZ8,0.97867566
A3VYI5,0.96508527
A3W1R4,0.87006545
A3W4U9,0.9896374
A3WJC7,0.99597114
A3WK91,0.99330175
A3WMQ4,0.99521756
A3X4F2,0.99560994
A3Y5G8,0.98887324
A3YFR5,0.5524597
A3YTT1,0.9990018
A3YXM4,0.8705521
A3YZ90,0.98944646
A3Z5H3,0.9958274
A3ZXV7,0.9832081
A4A121,0.9870092
A4AD88,0.9937377
A4AI25,0.98231065
A4AK44,0.99331045
A4AUB8,0.99607795
A4B8Y8,0.99013126
A4BGR0,0.98947877
A4BGU5,0.9923368
A4BJU7,0.99393773
A4BPK0,0.9983192
A4BQU7,0.9922002
A4BSJ9,0.995713
A4BV41,0.9561158
A4C051,0.9972927
A4CDE9,0.97577435
A4CHK9,0.9935876
A4CPS0,0.99881375
A4CQ29,0.9989722
A4CUY0,0.992668
A4D112,0.99683785
A4EW25,0.9974989
A4EZ98,0.9952099
A4F304,0.9862562
A4FQ07,0.9982241
A4FXH8,0.9989182
A4G101,0.9937266
A4G8H3,0.9976611
A4GIB8,0.9991104
A4GLA5,0.95258754
A4HDF5,0.995329
A4HFG3,0.99542856
A4HI56,0.99427456
A4HJF7,0.9946163
A4I800,0.9961993
A4IGZ6,0.99844176
A4IR69,0.90951854
A4IU12,0.99583375
A4J7E5,0.9903543
A4J7W3,0.9969277
A4J8P6,0.9769117
A4JTR0,0.97960794
A4JWV8,0.9723557
A4KRP3,0.9966118
A4NHT8,0.9899829
A4NYA9,0.95799047
A4QRL5,0.998594
A4R7H8,0.99534106
